epsilon,loss,top1-acc,top5-acc
0.001,2.1375369312334063,55.804,83.65
0.003,3.1526117532634736,38.874,70.88600000000002
0.005,3.588733580608368,32.688,64.808
0.01,4.004904894828797,26.908,58.022
0.03,4.180071852836609,23.7,53.09
0.05,4.1402309232711785,23.898000000000003,52.132
0.1,4.278948546676636,22.294,47.288
