epsilon,loss,top1-acc,top5-acc
0.001,2.190808690867424,53.06,85.508
0.003,3.488804586429596,28.43,76.612
0.005,5.972608405380249,7.938,58.284
0.01,12.989939700317382,0.41,20.94
0.03,28.590223735961914,0.002,4.762
0.05,34.92337858398437,0.0,3.7939999999999996
0.1,39.58437927978515,0.002,3.046
